file	affiliations	country
p1053-zhao.pdf	Carleton University-Carleton University	Canada
p1387-correllACR.pdf	University of Washington-University of Washington	USA
p1093-correiaA.pdf	"Goldsmiths, University of London-Goldsmiths, University of London"	Portugal-UK
p1408-kollenburg.pdf	"Eindhoven University of Technology,-Eindhoven University of Technology,"	Netherlands-Netherlands
p1290-matejkaA.pdf	"Autodesk Research, Toronto Ontario"	Canada
p1397-changA.pdf	Monash University-Monash University-Monash University-Monash University-Monash University-Monash University-Monash University-Monash University	Australia-Australia-Australia-Australia
p1015-orji.pdf	"Cheriton School of Computer Science, University of Waterloo, Waterloo, ON,-Cheriton School of Computer Science, University of Waterloo, Waterloo, ON,-Cheriton School of Computer Science, University of Waterloo, Waterloo, ON,-HCI Games Group, Games Institute, University of Waterloo, Waterloo, ON,-HCI Games Group, Games Institute, University of Waterloo, Waterloo, ON,-HCI Games Group, Games Institute, University of Waterloo, Waterloo, ON,-HCI Games Group, Games Institute, University of Waterloo, Waterloo, ON,"	Canada-Canada
p1136-warnerA.pdf	UC San Diego-UC Berkeley	USA-USA
p1375-kimA.pdf	University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington	USA-USA-USA
p1001-schmitzA.pdf	Technische Universit¨at Darmstadt-Saarland University-Saarland University	Germany-Switzerland
p1131-tewellA.pdf	"City, University of London-City, University of London-City, University of London-City, University of London-University of Melbourne-University of Melbourne"	UK-Australia
p1307-liuA.pdf	"LTCI, CNRS, Telecom ParisTech, Université Paris-Saclay, Paris,-LRI, Univ. Paris-Sud, CNRS, Inria, Université Paris-Saclay, Paris,-LRI, Univ. Paris-Sud, CNRS, Inria, Université Paris-Saclay, Paris,-Sorbonne Univeristés, UPMC Univ Paris , CNRS, ISIR, Paris,-School of Computer Science,University of Birmingham, Birmingham,-School of Computer Science,University of Birmingham, Birmingham,-School of Computer Science,University of Birmingham, Birmingham,"	France-France-France-UK
p1352-tabor.pdf	University of Lincoln-University of Lincoln-University of New Brunswick-University of New Brunswick-University of Dundee-University of Dundee	Canada-UK-UK
p1205-chenA.pdf	"School of Psychology,-University of Birmingham,-University of Birmingham,-University of Birmingham,-University of Birmingham,-University of Birmingham,-University of Birmingham,-School of Computer Science,-University of Birmingham,-University of Birmingham,"	UK-UK-UK-UK
p1040-deppingA.pdf	"Department of Computer Science, University of Saskatchewan-Department of Computer Science, University of Saskatchewan-Department of Computer Science, University of Saskatchewan"	Canada
p1313-mcnaneyA.pdf	"Lancaster University, Lancaster, , r.mcnaney@lancaster.ac.uk-Lancaster University, Lancaster, , r.mcnaney@lancaster.ac.uk-Northumbria University, Newcastle upon Tyne, , john.vines@northumbria.ac.uk-Northumbria University, Newcastle upon Tyne, , john.vines@northumbria.ac.uk-Newcastle University, Newcastle upon Tyne, , {d.welsh; tony.young}@newcastle.ac.uk-Newcastle University, Newcastle upon Tyne, , {d.welsh; tony.young}@newcastle.ac.uk"	UK-UK-UK-UK
p977-ionA.pdf	"Hasso Plattner Institute, Potsdam,"	Germany
