file	affiliations	country
p1949-jiaA.pdf	School of Informatics and Computing-Indiana University–Indianapolis (IUPUI)-Indiana University–Indianapolis (IUPUI)	USA
p2347-barowyA.pdf	Microsoft Research	USA
p2282-balestrini.pdf	"University College London, , {m.balestrini, y.rogers, p.marshall @ucl.ac.uk }-University College London, , {m.balestrini, y.rogers, p.marshall @ucl.ac.uk }-University College London, , {m.balestrini, y.rogers, p.marshall @ucl.ac.uk }"	UK-UK
p2175-lazar.pdf	Northwestern University-Northwestern University-Northwestern University-Northwestern University	USA
p1911-matthiesA.pdf	"University of Cologne, , bernhard.strecker@uni-koeln.de-University of Cologne, , bernhard.strecker@uni-koeln.de"	Germany-Germany
p2127-jansenA.pdf	"Meaningful Interactions Lab (mintlab, KU Leuven – imec)"	Belgium
p2163-morrissey.pdf	"Open Lab, Newcastle University, Newcastle upon Tyne, , {kellie.morrissey, a.garbett, p.c.wright,-Open Lab, Newcastle University, Newcastle upon Tyne, , {kellie.morrissey, a.garbett, p.c.wright,-Open Lab, Newcastle University, Newcastle upon Tyne, , {kellie.morrissey, a.garbett, p.c.wright,-Northumbria University, Newcastle upon Tyne, , katie.brittain@newcastle.ac.uk-Northumbria University, Newcastle upon Tyne, , katie.brittain@newcastle.ac.uk"	UK-UK
p2106-yamaoka.pdf	Keio University-Keio University-Keio University-Keio University	Japan-Japan
p2024-harnett.pdf	University of Louisville-University of Louisville	USA
p2064-salovaaraA.pdf	"Helsinki Institute for Information Technology HIIT, Dept. of Computer Science, University of Helsinki-Helsinki Institute for Information Technology HIIT, Dept. of Computer Science, University of Helsinki-Helsinki Institute for Information Technology HIIT, Dept. of Computer Science, University of Helsinki-Department of Information and Service Economy, Aalto University-Department of Information and Service Economy, Aalto University-Department of Information and Service Economy, Aalto University-Department of Communications and Networking, Aalto University-Department of Communications and Networking, Aalto University-Department of Communications and Networking, Aalto University"	Finland
p2116-hsuA.pdf	"Hong Kong University of Science and Technology, Hong Kong-Hong Kong University of Science and Technology, Hong Kong-Boston University School of Medicine, Boston, MA-Boston University School of Medicine, Boston, MA-Boston University School of Medicine, Boston, MA"	Hong Kong-USA
p2215-vanceA.pdf	Brigham Young University-Brigham Young University	USA
p2054-musabirovA.pdf	National Research University Higher School of Economics-National Research University Higher School of Economics-National Research University Higher School of Economics-Uppsala University-Uppsala University	Sweden
p2264-dowellA.pdf	University College London-University College London-University College London-University College London-University College London-University College London	UK-UK
p2307-ereteA.pdf	College of Computing and Digital Media-DePaul University-DePaul University	USA-USA
p1978-wuertz.pdf	University of New Brunswick-University of New Brunswick-University of New Brunswick-University of New Brunswick	Canada-Canada
p2149-lazarA.pdf	Northwestern University-Northwestern University-Northwestern University-Northwestern University	USA
p2189-matthews.pdf	"Google, Mountain View, CA, ,"	USA-USA
p1899-zagermannA.pdf	"HCI Group, University of Konstanz,-HCI Group, University of Konstanz,-HCI Group, University of Konstanz,-Figure . Our three different input modalities PAD, TOUCH, and MOVE used on LARGE"	Germany
p1935-ford.pdf	"University of California, Irvine-University of California, Irvine"	USA
p2059-ghosh.pdf	"Indian Institute of Technology, Bombay, Mumbai, India."	India
p2269-gorkovenko.pdf	"University of Dundee,-University of Dundee,-University of Dundee,-University of Dundee,-University of Dundee,-University of Dundee,"	UK-UK-UK
p1973-kasunic.pdf	Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University	USA-USA
p2042-soden.pdf	Department of Computer Science-University of Colorado Boulder-University of Colorado Boulder-Department of Communication-University of Colorado Boulder-University of Colorado Boulder-Department of Information Science-University of Colorado Boulder-University of Colorado Boulder	USA
p1887-krupkaA.pdf	"Microsoft Research-Ben-Gurion University, Israel-Ben-Gurion University, Israel"	Israel
p2334-changA.pdf	for Labeling Machine Learning Datasets-Carnegie Mellon University-Carnegie Mellon University-Microsoft Research-Microsoft Research	USA
p2239-hassibA.pdf	"LMU Munich – Ubiquitous Interactive Systems Group (Amalienstrasse ,  München, )-University of Stuttgart – VIS (Pfaffenwaldring a,  Stuttgart, )-University of Stuttgart – VIS (Pfaffenwaldring a,  Stuttgart, )"	Germany-Germany
p2233-singhAemb.pdf	"School of Communication and-Rutgers University, NJ, .-Rutgers University, NJ, .-Department of Economics,-Indian Institute of Technology"	USA-India
p2295-asadAFl.pdf	Georgia Institute of Technology	USA-Denmark
p2202-sawayaA.pdf		USA-Japan
p2228-washA.pdf	Michigan State University-Michigan State University-Michigan State University-Michigan State University-Michigan State University-Michigan State University	USA
p2029-cleggA.pdf	"University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park-The Information School-University of Washington-University of Washington"	USA
p2091-velt.pdf	"Mixed Reality Lab, The University of Nottingham, Nottingham,-Mixed Reality Lab, The University of Nottingham, Nottingham,-Mixed Reality Lab, The University of Nottingham, Nottingham,"	UK
p1923-mcintoshA.pdf	"Bristol Interaction Group,-University of Bristol,-University of Bristol,-Radiology Department-University Hospitals Bristol NHS Foundation-University Hospitals Bristol NHS Foundation"	UK-UK
p2320-johnson.pdf	"Open Lab, Newcastle University, Newcastle upon Tyne, , i.g.johnson@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , i.g.johnson@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , i.g.johnson@newcastle.ac.uk-Northumbria University, Newcastle upon Tyne, , {firstname.lastname}@northumbria.ac.uk-Northumbria University, Newcastle upon Tyne, , {firstname.lastname}@northumbria.ac.uk-Nottingham University, Nottingham, , karen.salt@nottingham.ac.uk-Nottingham University, Nottingham, , karen.salt@nottingham.ac.uk-Durham University, Durham, , e.g.flynn@durham.ac.uk-Durham University, Durham, , e.g.flynn@durham.ac.uk"	UK-UK-UK-UK
p2078-chen.pdf	"Open Lab, Newcastle University-Open Lab, Newcastle University-Open Lab, Newcastle University-Northumbria University,-Northumbria University,"	UK-UK-UK
p2252-feltwell.pdf	"Northumbria University, Newcastle upon Tyne, , {tom.feltwell, gavin.wood, ioannis.petridis,-Northumbria University, Newcastle upon Tyne, , {tom.feltwell, gavin.wood, ioannis.petridis,-Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Department of Psychology, University of Bath, Bath, , {p.d.brooker, j.c.barnett}@bath.ac.uk-Department of Psychology, University of Bath, Bath, , {p.d.brooker, j.c.barnett}@bath.ac.uk-Department of Psychology, University of Bath, Bath, , {p.d.brooker, j.c.barnett}@bath.ac.uk-Culture Lab, Newcastle University, Newcastle upon Tyne, , tom.schofield@newcastle.ac.uk-Culture Lab, Newcastle University, Newcastle upon Tyne, , tom.schofield@newcastle.ac.uk-Culture Lab, Newcastle University, Newcastle upon Tyne, , tom.schofield@newcastle.ac.uk"	UK-UK-UK-UK
p2137-hornofA.pdf	"Designing for the “Universe of One”: Personalized-† College of Education-University of Oregon,-University of Oregon,-University of Oregon,-University of Oregon,-Univ. of British Columbia,"	USA-USA-Canada
p1961-qianA.pdf	"†School of Software and TNLIST, Tsinghua University,-†School of Software and TNLIST, Tsinghua University,-†School of Software and TNLIST, Tsinghua University,-‡Computer Engineering and Networks Laboratory, ETH, Switzerland-‡Computer Engineering and Networks Laboratory, ETH, Switzerland"	China
p1882-huberA.pdf	Harvard University-Harvard University-University of Washington-University of Washington-Harvard University-Harvard University	USA-USA-USA
