file	affiliations	country
p3741-gonzalezA.pdf	"LRI, Univ. Paris-Sud, CNRS,-Sorbonne Universités-UPMC Univ Paris ,-Université Paris-Saclay, Orsay,  Université Paris-Saclay, Paris,  CNRS, ISIR, Paris,"	France
p3582-mcmillan.pdf	"Stockholm University,-Stockholm University,-Aarhus University-Aarhus University-Sapienza University of Rome-Sapienza University of Rome"	Sweden-Denmark-Italy
p3390-waernA.pdf	Uppsala University-Uppsala University	Sweden
p3775-urA.pdf	"*University of Chicago, Carnegie Mellon University-*University of Chicago, Carnegie Mellon University"	USA
p3620-dasguptaA.pdf	∗MIT Media Lab-†University of Washington-†University of Washington	USA
p3751-abdelrahmaA.pdf	"University of Stuttgart, HCI Group, , {ﬁrstname.lastname}@vis.uni-stuttgart.de-University of Stuttgart, HCI Group, , {ﬁrstname.lastname}@vis.uni-stuttgart.de-University of Stuttgart, HCI Group, , {ﬁrstname.lastname}@vis.uni-stuttgart.de-LMU Munich, Ubiquitous Interactive Systems Group, , {ﬁrstname.lastname}@iﬁ.lmu.de"	Germany-Germany
p3746-wangA.pdf	Center for Human-Engaged Computing-Kochi University of Technology-Kochi University of Technology-School of Information-Kochi University of Technology-Kochi University of Technology-College of Communication Engineering-Jilin University-Jilin University	Japan-Japan-China
p3281-antoineA.pdf	"Inria,  Université de Lille,-Inria,  Université de Lille,"	France
p3557-cecchinatoA.pdf	"UCL Interaction Centre-University College London-University College London-University College London-UCL Interaction Centre-University College London-University College London-University College London-City, University London-City, University London"	UK
p3501-komatsuA.pdf	"FMS, Meiji University-FMS, Meiji University-Shinshu University-Shinshu University-National Institute of Informatics-Honda Research Institute  Co., Ltd.-Honda Research Institute  Co., Ltd."	Japan-Japan-Japan-Japan-Japan
p3293-grosse-puppendahlA.pdf	"Microsoft Research, Cambridge,  / Redmond, WA, ; {tgp, cholz, gabe, shodges}@microsoft.com-University of Regensburg, Regensburg, ; raphael.wimmer@ur.de-University of Regensburg, Regensburg, ; raphael.wimmer@ur.de-Technische Universit¨at Darmstadt, Darmstadt, ; oskar.bechtold@stud.tu-darmstadt.de-University of Washington, Seattle, WA, ; jrs@cs.washington.edu, matt.reynolds@ee.washington.edu-University of Washington, Seattle, WA, ; jrs@cs.washington.edu, matt.reynolds@ee.washington.edu"	USA-UK-Germany-Germany-USA
p3718-cheng.pdf	Hasso Plattner Institute-Microsoft Research	Germany-USA
p3657-peekA.pdf	MIT Center for Bits-Shaper Tools Inc.-MIT Center for Bits	USA
p3645-boukhelifaA.pdf	"LTCI, CNRS, Telecom ParisTech, Université Paris-Saclay-LRI, Univ. Paris-Sud, CNRS, Inria, Université Paris-Saclay-LRI, Univ. Paris-Sud, CNRS, Inria, Université Paris-Saclay-I, CNRS, Telecom ParisTech, Université Paris-Saclay-UMR GMPA, AgroParisTech, INRA, Université Paris-Saclay"	France
p3365-leeA.pdf	A Human-Centered Approach to Algorithmic Services:-Center for Machine Learning &-Carnegie Mellon University-Carnegie Mellon University-School of Design-Carnegie Mellon University-Carnegie Mellon University	USA-USA-USA
p3506-xuA.pdf		USA
p3608-boppA.pdf	ATLAS Institute-University of Colorado Boulder-University of Colorado Boulder-University of Colorado Boulder-University of Colorado Boulder-University of Colorado Boulder-University of Colorado Boulder	USA
p3511-gurariA.pdf	The University of Texas at Austin-The University of Texas at Austin	USA
p3632-tolmieA.pdf	University of Warwick-University of Warwick-Lancaster University-Lancaster University-Warwick University-Warwick University-Warwick University-Warwick University-University of Siegen-University of Siegen-Warwick University-Warwick University	Switzerland-UK-Germany-UK
p3669-sareenA.pdf	MIT Media Lab-Keio University-Keio University	USA-USA-Japan
p3705-spelmezanA.pdf	"Interact Lab-University of Sussex, Brighton,-University of Sussex, Brighton,"	UK
p3538-parkA.pdf	"Graduate School of Knowledge Service Engineering, KAIST-†Department of Electrical and Computer Engineering, Khalifa University-†Department of Electrical and Computer Engineering, Khalifa University-†Department of Electrical and Computer Engineering, Khalifa University"	Korea
p3729-kaul.pdf	University of Hannover-University of Hannover	Germany
p3551-chenAFL.pdf	"ti Lab, Chalmers University of Technology,-ti Lab, Chalmers University of Technology,-ti Lab, Chalmers University of Technology,-NUS-HCI Lab, National University of-NUS-HCI Lab, National University of-NUS-HCI Lab, National University of"	Sweden-Singapore
p3764-das.pdf	"Thumprint: Socially-Inclusive Local Group-Carnegie Mellon University, Human-Computer Interaction Institute-Carnegie Mellon University, Human-Computer Interaction Institute-Carnegie Mellon University, Human-Computer Interaction Institute"	USA
p3340-karusalaA.pdf	Georgia Institute of Technology	USA
p3403-faste.pdf	California College of the Arts	USA
p3316-nishidaAFL.pdf	"Artiﬁcial Intelligence Laboratory-Artiﬁcial Intelligence Laboratory-University of Tsukuba, /JSPS-University of Tsukuba, /JSPS-Artiﬁcial Intelligence Laboratory-Artiﬁcial Intelligence Laboratory-University of Tsukuba, /JST-University of Tsukuba, /JST"	Japan-Japan
p3328-jangA.pdf	"School of Mechanical Engineering and-Department of Health and Kinesiology-Purdue University, West Lafayatte, IN,-Purdue University, West Lafayatte, IN,-School of Interactive Arts + Technology-Simon Fraser University-Simon Fraser University"	USA-Canada
p3681-bucciAFL.pdf	University of British-University of British-University of Twente-University of Twente-University of Tampere-University of Tampere	Canada-Netherlands-Finland
p3488-longA.pdf	"Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, , kiel.long@newcastle.ac.uk-Northumbria University, Newcastle upon Tyne, , {firstname.lastname}@northumbria.ac.uk-Northumbria University, Newcastle upon Tyne, , {firstname.lastname}@northumbria.ac.uk-University of Bath, Bath, , {p.d.brooker, j.c.barnett}@bath.ac.uk-University of Bath, Bath, , {p.d.brooker, j.c.barnett}@bath.ac.uk-University of York, York, , ben.kirman@york.ac.uk-University of York, York, , ben.kirman@york.ac.uk"	UK-UK-UK-UK
p3693-yueA.pdf	"The University of Hong Kong, Hong Kong, , {ytyue, xlzhang, ytchoi, wenping}@cs.hku.hk-The University of Hong Kong, Hong Kong, , {ytyue, xlzhang, ytchoi, wenping}@cs.hku.hk-University of Bath, Bath,  , y.yang@cs.bath.ac.uk-University of Bath, Bath,  , y.yang@cs.bath.ac.uk-Xiamen University of Technology, Xiamen,  , rengang@xmut.edu.cn-Xiamen University of Technology, Xiamen,  , rengang@xmut.edu.cn"	Hong Kong-UK-China
p3523-valentineA.pdf	"Stanford University, Carnegie Mellon University-Stanford University, Carnegie Mellon University"	USA
p3377-rho.pdf	"Department of Informatics, University of California, Irvine, Irvine, CA,-Department of Informatics, University of California, Irvine, Irvine, CA,-Department of Informatics, University of California, Irvine, Irvine, CA,-College of Computing & Informatics, Drexel University, Philadelphia, PA,-College of Computing & Informatics, Drexel University, Philadelphia, PA,-College of Computing & Informatics, Drexel University, Philadelphia, PA,-struggles,  EUCC"	USA-USA
p3476-candelloA.pdf	Universidade Federal de Minas Gerais	Brazil
p3352-strohmayer.pdf	"Open Lab,-Open Lab,-Newcastle University-Newcastle University-Northumbria University-Northumbria University-Newcastle University-Newcastle University"	UK-UK-UK
p3595-camboA.pdf	Northwestern University-Northwestern University	USA-USA
p3569-visuri.pdf	"Center for Ubiquitous Computing, University of Oulu-Center for Ubiquitous Computing, University of Oulu-Center for Ubiquitous Computing, University of Oulu-Department of Computing and Information Systems, The University of Melbourne-Department of Computing and Information Systems, The University of Melbourne-Department of Computing and Information Systems, The University of Melbourne-Department of Computer Science, Dartmouth College-Department of Computer Science, Dartmouth College"	Australia-Finland-USA
p3426-makela.pdf	"University of Tampere, Tampere,-University of Tampere, Tampere,-University of Wisconsin - Stevens Point, Wisconsin,-University of Wisconsin - Stevens Point, Wisconsin,"	Finland-USA
p3414-williamson.pdf	University of Glasgow-University of Glasgow	UK
