file	affiliations	country
p3943-wagemakers.pdf	"Dept. of Computer Science, University of Saskatchewan-Dept. of Computer Science, University of Saskatchewan"	Canada
p4254-eibandA.pdf	"Media Informatics Group, LMU Munich,"	Germany
p4000-xiao.pdf	"Carnegie Mellon University, Human-Computer Interaction Institute-Carnegie Mellon University, Human-Computer Interaction Institute-Carnegie Mellon University, Human-Computer Interaction Institute"	USA
p3867-dyeA.pdf	Georgia Institute of Technology-University of Kentucky-University of Kentucky-University of Washington-University of Washington-Google Inc.-Google Inc.-Georgia Institute of Technology-Georgia Institute of Technology	USA
p4009-fdili-alaouiA.pdf	"Laban Movement Qualities-∗ Univ. Paris-Sud, CNRS, Inria,Universit Paris-Saclay, Orsay, .-∗ Univ. Paris-Sud, CNRS, Inria,Universit Paris-Saclay, Orsay, .-† SIAT, Simon Fraser University, Surrey, BC, .-† SIAT, Simon Fraser University, Surrey, BC, .-‡Laban Institute of Movement Studies, NYC, .-‡Laban Institute of Movement Studies, NYC, .-∓ STMS Lab, IRCAM–CNRS–UPMC, Paris, ."	France-Canada-USA-France
p3856-vermaA.pdf	University of Fribourg-University of Fribourg-University of Fribourg-University of Fribourg-University of Fribourg-University of Fribourg	Switzerland
p3954-lindlbauerA.pdf	"Department of Computer Science, Aarhus University, Aarhus, Denmark-Department of Computer Science, Aarhus University, Aarhus, Denmark-Department of Computer Science, Aarhus University, Aarhus, Denmark"	Germany
p3879-gilA.pdf	Jacobs University-Jacobs University	Korea-Germany
p3833-bullekA.pdf	Bucknell University-Bucknell University-Bucknell University-Bucknell University-Bucknell University-Bucknell University-Bucknell University-Bucknell University	USA-USA-USA-USA
p4045-deyA.pdf	University of South-University of South-University of South-University of South-Mokpo National University-Mokpo National University-University of South-University of South	Australia-Korea
p4057-sousaA.pdf	"INESC-ID Lisboa / IST, Universidade de Lisboa, Faculdade de Ciˆencias, Universidade de Lisboa"	Portugal
p4242-vitaleA.pdf	"LRI, Univ. Paris-Sud, CNRS,-Inria, Université Paris-Saclay-Inria, Université Paris-Saclay-Univ Lyon, Université Lyon ,-University of British-University of British"	France-France-France-Canada
p3799-cabanasA.pdf	FDVT: Data Valuation Tool for Facebook Users-Universidad Carlos III de-Universidad Carlos III de-Universidad Carlos III de	Spain
p4203-jokinenA.pdf	"Aalto University,  Kochi University of Technology,-Aalto University,  Kochi University of Technology,"	Japan-Finland
p4063-tregillusA.pdf	HCI lab - Computer Science - University of Nevada-HCI lab - Computer Science - University of Nevada	USA
p3821-suchA.pdf	Department of Informatics-King’s College London-Lancaster University-Lancaster University-Google-School of Management-University of Bath-University of Bath	UK-Canada
p4170-zhaoA.pdf	"Jacobs Technion-Cornell Institute, Cornell Tech, Cornell University-Jacobs Technion-Cornell Institute, Cornell Tech, Cornell University-Jacobs Technion-Cornell Institute, Cornell Tech, Cornell University"	USA
p4216-yiA.pdf	"Key Laboratory of Pervasive Computing, Ministry of Education-Key Laboratory of Pervasive Computing, Ministry of Education-Tsinghua National Laboratory for Information Science and Technology-Tsinghua National Laboratory for Information Science and Technology-Department of Computer Science and Technology, Tsinghua University, Beijing, ,-Department of Computer Science and Technology, Tsinghua University, Beijing, ,-Department of Computer Science and Technology, Tsinghua University, Beijing, ,-Department of Computer Science, Stony Brook University, Stony Brook, NY,-Department of Computer Science, Stony Brook University, Stony Brook, NY,-Department of Computer Science, Stony Brook University, Stony Brook, NY,"	China-USA
p4278-liu.pdf	University of Iowa-University of Iowa-University of Iowa-University of Iowa	USA-USA
p4194-yeoA.pdf	"University of St Andrews,  NEC Corporation of Malaysia, Malaysia-University of St Andrews,  NEC Corporation of Malaysia, Malaysia-York University,  University of Cambridge,-York University,  University of Cambridge,"	UK-Canada-Malaysia
p3929-wuA.pdf	"University College London, UCL Interaction Centre, Gower Street, London,-University College London, UCL Interaction Centre, Gower Street, London,-University College London, UCL Interaction Centre, Gower Street, London,-University College London, UCL Interaction Centre, Gower Street, London,-Lancaster University, Lancaster,-Lancaster University, Lancaster,"	UK-UK
p3891-sridharA.pdf	"Max Planck Institute for Informatics, Saarland Informatics Campus,-University of Copenhagen, Denmark-University of Copenhagen, Denmark-Aalto University,-Aalto University,"	Denmark-Germany-Finland
