file	affiliations	country
p4911-arawjoA.pdf	"Department of Information Science, Department of Computer Science, Cornell University-Department of Information Science, Department of Computer Science, Cornell University-Department of Information Science, Department of Computer Science, Cornell University"	USA
p5109-wehbeA.pdf	Cheriton School of Computer Science & Games Institute & Department of Drama and Speech-Cheriton School of Computer Science & Games Institute & Department of Drama and Speech-Cheriton School of Computer Science & Games Institute & Department of Drama and Speech-University of Waterloo-University of Waterloo	Canada
p4838-javornikA.pdf	University College-University College-University College-University College London-University College London-University College London-Newcastle University-Newcastle University	UK-UK-UK-UK
p4983-yasu.pdf	NTT Communication Science Laboratories	Japan
p5075-strasnickA.pdf	"Stanford University, Stanford, CA,-Stanford University, Stanford, CA,-Google, Inc., Mountain View, CA, ;-Google, Inc., Mountain View, CA, ;"	USA-USA
p4899-marshall.pdf	"Mixed Reality Lab,-School of Computer Science-University of Nottingham,-University of Nottingham,"	UK
p5208-vankleekA.pdf	"Department of Computer Science-University of Oxford,-University of Oxford,"	UK-USA
p4887-fanA.pdf	"Department of Computer Science and LRDC,-University of Pittsburgh,-University of Pittsburgh,"	USA
p5171-francoiseA.pdf	"Simon Fraser University-Simon Fraser University-School of Interactive Arts +-Simon Fraser University-Simon Fraser University-School of Interactive Arts +-Simon Fraser University-Simon Fraser University-School of Interactive Arts +-Universit´e Paris Sud, Orsay,"	Canada-Canada-France
p4875-chungA.pdf	"Human Centered Design & Engineering-DUB Group, University of Washington-DUB Group, University of Washington-DUB Group, University of Washington-IT University of Copenhagen-IT University of Copenhagen"	UK-USA
p5145-feuchtnerA.pdf	"Department of Computer Science, Aarhus University, Aarhus, Denmark-Department of Computer Science, Aarhus University, Aarhus, Denmark-Department of Computer Science, Aarhus University, Aarhus, Denmark"	Denmark
p5029-mcarthur.pdf	University of Toronto Mississauga-University of Toronto Mississauga	Canada
p4776-singhA.pdf	Cornell University-Cornell University-Cornell University-Cornell University-Department of Science and Technology Studies-Department of Information Science	USA
p5006-rekikA.pdf	University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &-University of Lille Sci. &	France
p5065-takahashiA.pdf	Meiji University-Meiji University-Meiji University-Meiji University	Japan-Japan
p4924-prabhakarA.pdf	School of Information Technology-University of Cincinnati-University of Cincinnati-School of Informatics & Computing-Indiana University-Bloomington-Indiana University-Bloomington-School of Public Health-Indiana University-Indiana University-National Institute for Public Safety Health	USA
p4850-rossittoAFL.pdf	Stockholm University-Stockholm University-Södertörn University-Södertörn University-The IT University of Copenhagen-The IT University of Copenhagen	Sweden-Denmark
p4972-culbertsonA.pdf	Department of Mechanical Engineering-Stanford University-Stanford University	USA
p5126-spielAFL.pdf	"TU Wien (Vienna University of Technology), Austria-TU Wien (Vienna University of Technology), Austria-Bauhaus-Universitaet Weimar,"	Germany-Austria
p4825-taylorA.pdf	"Mixed Reality Laboratory-Mixed Reality Laboratory-University of Nottingham,-University of Nottingham,-Edinburgh College of Art-University of Edinburgh,-University of Edinburgh,-Open Lab-Newcastle University,-Newcastle University,"	UK-UK-UK
p5132-malinverni.pdf	Universitat Pompeu Fabra	Spain
p4966-lukoffA.pdf	University of Washington-University of Washington-University of Michigan-University of Michigan-University of Michigan-University of Michigan	USA-USA-USA
p4948-kim.pdf	"Human-Computer Interaction Lab-University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park-Department of Transdisciplinary Studies-Seoul National University-Seoul National University"	USA-Korea
p5016-gai.pdf	School of Computer Science-University-University-Engineering Research Center of-University-University	USA-China
p4935-lemoignan.pdf	"Northumbria University, Newcastle upon Tyne, , {effie.lemoignan, shaun.lawson,-Northumbria University, Newcastle upon Tyne, , {effie.lemoignan, shaun.lawson,"	UK-UK
p5184-pearsonA.pdf	"Interact Lab-FIT Lab, Swansea University,   Industrial Design Centre,-FIT Lab, Swansea University,   Industrial Design Centre,-FIT Lab, Swansea University,   Industrial Design Centre,-University of Sussex,-University of Sussex,"	UK-India
p4960-hussien-ahmedA.pdf	"∗Center for Human-Engaged Computing, Kochi University of Technology,-∗Center for Human-Engaged Computing, Kochi University of Technology,-∗Center for Human-Engaged Computing, Kochi University of Technology,-‡Educational Technology Department, Faculty of Speciﬁc Education, South Valley University, Egypt-‡Educational Technology Department, Faculty of Speciﬁc Education, South Valley University, Egypt-‡Educational Technology Department, Faculty of Speciﬁc Education, South Valley University, Egypt-†School of information, Kochi University of Technology,-†School of information, Kochi University of Technology,-†School of information, Kochi University of Technology,"	Japan-Egypt
p4994-strohmeierA.pdf	"Human Centered Computing,-Department of Computer Science, University of Copenhagen, Denmark-Department of Computer Science, University of Copenhagen, Denmark-Department of Computer Science, University of Copenhagen, Denmark"	Denmark
p5034-gastonA.pdf	Carnegie Mellon University-Carnegie Mellon University-Northeastern University-Northeastern University	USA
p5197-mcreynoldsA.pdf	Tech Policy Lab-University of Washington-University of Washington-University of Washington-University of Washington-Information School-University of Washington-University of Washington-Information School-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington	USA
p5120-evainA.pdf	"Universit´e de Rennes , , Inria, , Universit´e de Lille,-Universit´e de Rennes , , Inria, , Universit´e de Lille,"	France
p5158-wilde.pdf	"SDU Design, University of-SDU Design, University of-IxD lab, The IT University of-IxD lab, The IT University of-Eindhoven Univ. of Technology"	Spain-Denmark
p5114-hassibA.pdf	LMU Munich – Ubiquitous Interactive Systems Group – {ﬁrstname.lastname}@iﬁ.lmu.de-University of Stuttgart – VIS – {ﬁrstname.lastname}@vis.uni-stuttgart.de-University of Stuttgart – VIS – {ﬁrstname.lastname}@vis.uni-stuttgart.de	Germany
p4753-green.pdf	"Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, .-Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, .-Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, .-Department of Theatre, Film and Television, University of York, York, . guy.schofield@york.ac.uk-Department of Theatre, Film and Television, University of York, York, . guy.schofield@york.ac.uk-Department of Theatre, Film and Television, University of York, York, . guy.schofield@york.ac.uk-Department of Sociology, University of Surrey, Guildford, Surrey, . g.pritchard@surrey.ac.uk-Department of Sociology, University of Surrey, Guildford, Surrey, . g.pritchard@surrey.ac.uk-Department of Sociology, University of Surrey, Guildford, Surrey, . g.pritchard@surrey.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, . p.l.olivier@ncl.ac.uk; p.c.wright@ncl.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, . p.l.olivier@ncl.ac.uk; p.c.wright@ncl.ac.uk-Open Lab, Newcastle University, Newcastle upon Tyne, . p.l.olivier@ncl.ac.uk; p.c.wright@ncl.ac.uk"	UK-UK-UK-UK
p4863-pellicone.pdf	"Human Computer Interaction Lab-Steinhardt School of Culture, Education, and-New York University-New York University-University of Maryland-University of Maryland-College Park, Maryland"	USA
p5040-hornbaekA.pdf	University of Copenhagen-University of Copenhagen	Denmark-Finland
p5087-petralitoA.pdf	"Center for Cognitive Psychology and Methodology, Department of Psychology, University of Basel-Center for Cognitive Psychology and Methodology, Department of Psychology, University of Basel-Center for Cognitive Psychology and Methodology, Department of Psychology, University of Basel-Center for Cognitive Psychology and Methodology, Department of Psychology, University of Basel-HCI Games Group, Games Institute, University of Waterloo-HCI Games Group, Games Institute, University of Waterloo-HCI Games Group, Games Institute, University of Waterloo-HCI Games Group, Games Institute, University of Waterloo"	Canada-Switzerland
p4765-chandraA.pdf	University of Michigan-University of Michigan	USA
p5053-maudetA.pdf	"LRI, Univ. Paris-Sud, CNRS,-Inria, Université Paris-Saclay-Inria, Université Paris-Saclay"	France
p5098-mustafaAfl.pdf	"Computer Graphics Lab-Computer Graphics Lab-Computer Graphics Lab-Univ. New Mexico,"	USA-Germany
