file	affiliations	country
p5232-saksonoA.pdf	"College of Computer and Information Science, Bouvé College of Health Sciences-Northeastern University,  Huntington Ave., Boston, MA ,-Northeastern University,  Huntington Ave., Boston, MA ,"	USA
p5257-berry.pdf	University of Washington-University of Washington-Group Health Research Institute-Group Health Research Institute	USA-USA
p5226-sailaja.pdf	"The Mixed Reality Lab-University of Nottingham,-University of Nottingham,-The Mixed Reality Lab-University of Nottingham,-University of Nottingham,"	UK-UK-UK
p5400-blythe.pdf	School of Design-Northumbria University-Northumbria University	UK
p5678-leeA.pdf	Indiana University-Indiana University	USA
p5412-schlesingerA.pdf	School of Interactive Computing and GVU Center-School of Interactive Computing and GVU Center	USA
p5346-yuanA.pdf	Rutgers University-Rutgers University	USA
p5545-shannon.pdf	University-University-University-University-University-University-University of-University of-University-University	USA-USA-USA-USA-USA
p5439-woodA.pdf	Northumbria University-Northumbria University-Open Lab-Newcastle University-Newcastle University-Open Lab-Newcastle University-Newcastle University	UK-UK-UK
p5386-elsdenA.pdf	Open Lab-Newcastle University-Newcastle University-University of Edinburgh-University of Edinburgh-Northumbria University-Northumbria University	UK-UK-UK
p5361-widdicksA.pdf	"School of Computing and Communications, Lancaster University,-School of Computing and Communications, Lancaster University,-School of Computing and Communications, Lancaster University,-Computer Laboratory, University of Cambridge,-Computer Laboratory, University of Cambridge,-Computer Laboratory, University of Cambridge,-Computer Laboratory, University of Cambridge,"	UK-UK
p5580-wauckA.pdf	University of California at-University of California at-University of Illinois at Urbana-University of Illinois at Urbana-Northwestern University-Northwestern University	USA
p5655-mcgillA.pdf	"Glasgow Interactive Systems Section, School of Computing Science, University of Glasgow,-Glasgow Interactive Systems Section, School of Computing Science, University of Glasgow,-Glasgow Interactive Systems Section, School of Computing Science, University of Glasgow,"	UK
p5331-gongA.pdf	"Dartmouth College, South  University of Technology, University of Waterloo-Dartmouth College, South  University of Technology, University of Waterloo-Dartmouth College, South  University of Technology, University of Waterloo"	China-USA-Canada
p5462-boyA.pdf	"NYU School of Law,-NYU School of Law,"	USA
p5271-millerA.pdf	"Department of Computer Science, University of Saskatchewan-Department of Computer Science, University of Saskatchewan-Department of Computer Science, University of Saskatchewan"	Canada
p5295-licoppeA.pdf	"ParisTech, Université Paris--School of Management and-King's College London,"	UK-France-Japan
p5592-xiaAFL.pdf	University of Toronto-University of Toronto	Canada
p5475-dimaraA.pdf	"Inria,-Univ. Paris-Sud, CNRS, Inria,-Univ. Paris-Sud, CNRS, Inria,-Inria,"	France-France-France
p5428-nguyenA.pdf	Portland State University-Portland State University-Adobe Research	USA-USA
p5318-pohlA.pdf	University of Hannover-University of Hannover	Germany
p5373-khovanskaya.pdf	Department of-Cornell University-Cornell University-Department of-University of-University of-Cornell University-Cornell University-San Jose State University-San Jose State University	USA
