file	affiliations	country
p5800-mentis.pdf	"Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD,-Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD,-Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD,-University of Maryland School of Medicine, Baltimore, MD,-University of Maryland School of Medicine, Baltimore, MD,-University of Maryland School of Medicine, Baltimore, MD,"	USA-USA
p6111-torresA.pdf	"University of California, Berkeley-University of California, Berkeley"	USA
p5730-mcnallyA.pdf	"Human-Computer Interaction Lab-College of Information Studies; Department of Computer Science-College of Information Studies; Department of Computer Science-University of Maryland, College Park-University of Maryland, College Park-University of Maryland, College Park"	USA
p5881-grandiAemb.pdf	"Federal University of Rio Grande do Sul, Institute of Informatics-Federal University of Rio Grande do Sul, Institute of Informatics-Federal University of Rio Grande do Sul, Institute of Informatics-´Ecole Polytechnique F´ed´erale de Lausanne, Immersive Interaction Group"	Switzerland-Brazil
p5862-billahA.pdf	"*Department of Computer Science, Stony Brook University, NY,-*Department of Computer Science, Stony Brook University, NY,-*Department of Computer Science, Stony Brook University, NY,-+Department of Computer Science, University of North Carolina at Chapel Hill, NC,-+Department of Computer Science, University of North Carolina at Chapel Hill, NC,-+Department of Computer Science, University of North Carolina at Chapel Hill, NC,"	USA-USA
p5755-spielA.pdf	"TU Wien (Vienna University of Technology), Austria-TU Wien (Vienna University of Technology), Austria-University Pompeu Fabra, Barcelona, Spain-University Pompeu Fabra, Barcelona, Spain-University of Sussex, Brighton,-University of Sussex, Brighton,"	Spain-Austria-UK
p6075-webberA.pdf	"Microsoft Research Centre for SocialNUI-University of Melbourne, Parkville,-University of Melbourne, Parkville,"	Australia-Australia
p6089-suA.pdf	School of Informatics and Computing-Indiana University Bloomington-Indiana University Bloomington	USA
p5813-dowA.pdf	"Open Lab,-Newcastle University,-Newcastle University,-Newcastle University,-Newcastle University,-School of Design,-Northumbria University,-Northumbria University,"	UK-UK-UK
p6012-jamieson.pdf	"University of Glasgow, Glasgow,  {First.Last@glasgow.ac.uk}-University of Glasgow, Glasgow,  {First.Last@glasgow.ac.uk}-University of Strathclyde, Glasgow, {Marilyn.lennon@strath.ac.uk}-University of Strathclyde, Glasgow, {Marilyn.lennon@strath.ac.uk}"	UK
p5917-sambasivanA.pdf	Google Inc.-Google Inc.	USA
p6147-boyd.pdf	"Department of-UC Irvine, Irvine,-Department of-University of Iowa,-University of Iowa,-Department of Computer Science-ATLAS Institute-University of Colorado,-University of Colorado,-Information School-University of-University of"	USA-USA-USA-USA
p5892-saidi.pdf	University of Toulouse – IRIT-University of Toulouse – IRIT-University of Manitoba-University of Manitoba	France-Canada
p6159-molapo.pdf	University of Cape Town-University of Cape Town-University of Cape Town-University of Cape Town-University of Cape Town-University of Cape Town	South Africa
p5787-kimA.pdf	"User Experience Lab, Seoul National University, Seoul, South-User Experience Lab, Seoul National University, Seoul, South-User Experience Lab, Seoul National University, Seoul, South-Department of Otorhinolaryngology, Seoul National University Bundang Hospital, Seongnam, South-Department of Otorhinolaryngology, Seoul National University Bundang Hospital, Seongnam, South-Department of Otorhinolaryngology, Seoul National University Bundang Hospital, Seongnam, South-Center for Medical Informatics, Seoul National University Bundang Hospital, Seongnam, South-Center for Medical Informatics, Seoul National University Bundang Hospital, Seongnam, South-Center for Medical Informatics, Seoul National University Bundang Hospital, Seongnam, South"	Korea-Korea-Korea
p6038-liA.pdf	"Human-Computer Interaction Institute, Carnegie Mellon University-Human-Computer Interaction Institute, Carnegie Mellon University-Human-Computer Interaction Institute, Carnegie Mellon University-Computer Science Department, Ariel University-Computer Science Department, Ariel University-Computer Science Department, Ariel University"	USA
p6050-ahmed.pdf	Northeastern University-Northeastern University	USA
p5839-kacorriA.pdf	Carnegie Mellon University-Carnegie Mellon University	USA
p6106-yinA.pdf	"University of Washington, Seattle,-University of Washington, Seattle,"	USA
p6133-hassibA.pdf	"LMU Munich, Ubiquitous Interactive Systems Group – {ﬁrst.last}@iﬁ.lmu.de-University of Stuttgart, VIS – {ﬁrst.last}@vis.uni-stuttgart.de-University of Stuttgart, VIS – {ﬁrst.last}@vis.uni-stuttgart.de-University of Hannover – {ﬁrst.last}@hci.uni-hannover.de-University of Hannover – {ﬁrst.last}@hci.uni-hannover.de-University of M¨unster– {ﬁrst.last}@uni-muenster.de-University of M¨unster– {ﬁrst.last}@uni-muenster.de"	Germany
p6171-simpson.pdf	"Open Lab, Newcastle University,-Open Lab, Newcastle University,-Open Lab, Newcastle University,"	UK
p5905-gutwinA.pdf	Department of Computer Science-University of Saskatchewan-University of Saskatchewan	New Zealand-Canada
p6024-zhangA.pdf	"Computer Science & Engineering,  Taskar Center for Accessible Technology,  The Information School-Computer Science & Engineering,  Taskar Center for Accessible Technology,  The Information School-DUB Group | University of Washington-DUB Group | University of Washington-DUB Group | University of Washington"	USA
p5773-zhuA.pdf	"Pennsylvania State University-Pennsylvania State University-University Park,-University Park,-Pennsylvania State University-Pennsylvania State University-Pennsylvania State University-Pennsylvania State University-University Park,-University Park,-University Park,-University Park,"	USA-USA-USA
p5767-hinikerA.pdf	"Human Centered Design and Engineering, University of Washington, Seattle, WA,-Human Centered Design and Engineering, University of Washington, Seattle, WA,-Human Centered Design and Engineering, University of Washington, Seattle, WA,-Microsoft Research, Redmond, WA,"	USA-USA
p6101-mcgookinA.pdf	Department of Computer Science-Aalto University-Aalto University-Department of Media-Aalto University-Aalto University	Finland-Finland
p5988-macleod.pdf	School of Informatics & Computing-Microsoft Research-Human Centered Design & Engineering-University of Washington-University of Washington-Indiana University-Indiana University	USA-USA-USA
p5869-liuA.pdf	"LRI, Univ. Paris-Sud, CNRS,-Inria, Université Paris-Saclay-Inria, Université Paris-Saclay-University of Campinas-University of Campinas-Université Paris-Saclay"	France-Brazil
p5954-kandathil.pdf	Indian Institute of Management	USA-India
p5966-lu.pdf	Microsoft Research-University of Illinois-University of Illinois-INTRODUCTION-Consumer  depth  cameras  such  as  Microsoft  Kinect  have	USA-USA
p5716-stein.pdf	"University of Siegen, Siegen,-University of Siegen, Siegen,-Fraunhofer Institute for Applied Information"	Germany-Germany
p6062-munteanA.pdf	"University of British Columbia-University of British Columbia-Museum  of  Anthropology  (MOA)  at  the  University  of-Museum  of  Anthropology  (MOA)  at  the  University  of-Simon  Fraser  University  (SFU),  comprised-Simon  Fraser  University  (SFU),  comprised-Simon Fraser University-Simon Fraser University"	Canada-Canada-Canada
p5941-rifatA.pdf	University of Colorado-University of Colorado-New York University-New York University-School of Information-University of Michigan-University of Michigan	USA-UAE
p5742-yip.pdf	"University of Washington - The Information School, Human Centered Design & Engineering-University of Washington - The Information School, Human Centered Design & Engineering-University of Washington - The Information School, Human Centered Design & Engineering-University of Washington - The Information School, Human Centered Design & Engineering"	USA
p5826-guoA.pdf	"Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,-Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,-Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA,-Department of Computer Science, University of Colorado Boulder, Boulder, CO,-Department of Computer Science, University of Colorado Boulder, Boulder, CO,-Department of Computer Science, University of Colorado Boulder, Boulder, CO,"	USA-USA
p6056-findlater.pdf	"ACT Research Group-,Human-Computer Interaction Lab-College of Information Studies   |   Dept. of Computer Science-University of Maryland, College Park, MD-University of Maryland, College Park, MD-University of Maryland, College Park, MD-School of Information Studies-McGill University, Montreal, QC-McGill University, Montreal, QC"	USA-Canada
p5929-pal.pdf	"University of Michigan, Ann Arbor, Michigan,  - {joyojeet, prch, vaikam, harihars, ackerm,-University of Michigan, Ann Arbor, Michigan,  - {joyojeet, prch, vaikam, harihars, ackerm,-International Institute of Information Technology, Bangalore, India - anisha.nazareth@iiitb.org-George Mason University, Fairfax, Virginia,  -  johri@gmu.edu-George Mason University, Fairfax, Virginia,  -  johri@gmu.edu"	India-USA
p5850-tarnataA.pdf	University of Central Florida-University of Central Florida	USA
