file	affiliations	country
paper99.pdf	University of Glasgow-University of Glasgow	UK
paper478.pdf	"Meiji University-Meiji University-Shinshu University-Shinshu University-National Institute of Informatics-Honda Research Institute  Co., Ltd."	Japan-Japan-Japan-Japan-Japan
paper336.pdf	"Hasso Plattner Institute, Potsdam,"	Germany
paper450.pdf	"Meiji University,-Meiji University,-Kagawa University,-Kagawa University,-The University of Electro-Communications-The University of Electro-Communications"	Japan
paper444.pdf	"University of Washington – Seattle, WA-University of Washington – Seattle, WA-Human Centered Design & Engineering"	USA
paper322.pdf	University of Washington-University of Washington	USA
paper493.pdf	University of Chicago and University of Maryland (†)-University of Chicago and University of Maryland 	USA
paper66.pdf	"Supporting Distributed Small Group Decision-making-University of Washington, dub group, Seattle, WA  {rayhong, miasuh, zachry}@uw.edu-University of Washington, dub group, Seattle, WA  {rayhong, miasuh, zachry}@uw.edu-Microsoft Research, Redmond, WA  nath@microsoft.com"	USA-USA-Korea
paper72.pdf	Northumbria University-Northumbria University	UK
paper487.pdf	"Department of Computer Science-Aalto University, Espoo,-Aalto University, Espoo,"	Finland
paper108.pdf	Stanford University-Stanford University	USA
paper652.pdf	Massachusetts Institute of Technology-Google Research	USA
paper134.pdf	"University of Illinois at Urbana-Champaign, Ulsan National Institute of Science and Technology,-University of Illinois at Urbana-Champaign, Ulsan National Institute of Science and Technology,-University of Illinois at Urbana-Champaign, Ulsan National Institute of Science and Technology,-Adobe Research"	Korea-USA
paper120.pdf	Northwestern University-Northwestern University-Stanford University-Stanford University	USA-USA
paper646.pdf	"Aalto University,-Aalto University,-University of Cambridge,-University of Cambridge,"	Finland-UK
paper518.pdf	University of Colorado Boulder-University of Colorado Boulder-Microsoft Research-Microsoft Research-Microsoft Research	USA-USA-USA
paper242.pdf	University of Illinois at Urbana-Champaign-University of Illinois at Urbana-Champaign	USA
paper524.pdf	"Hasselt University – tUL – imec, Expertise Centre for Digital Media, Diepenbeek, Belgium-Hasselt University – tUL – imec, Expertise Centre for Digital Media, Diepenbeek, Belgium-Hasselt University – tUL – Flanders Make, Expertise Centre for Digital Media, Diepenbeek, Belgium-Hasselt University – tUL – Flanders Make, Expertise Centre for Digital Media, Diepenbeek, Belgium"	Belgium
paper530.pdf	Aarhus University-Aarhus University-Aarhus University-Aarhus University-University of Bayreuth-University of Bayreuth	Germany-Denmark
paper256.pdf	The StoryLab-Texas A&M University-Texas A&M University-The StoryLab-Texas A&M University-Texas A&M University	USA
paper281.pdf	"University of Calgary, Calgary,-University of Calgary, Calgary,"	Canada-Germany
paper295.pdf	Language Technologies Institute and Human-Computer Interaction Institute-Carnegie Mellon University-Carnegie Mellon University	USA
paper294.pdf	"UC San Diego, Carnegie Mellon University-UC San Diego, Carnegie Mellon University-UC San Diego, Carnegie Mellon University"	USA
paper280.pdf	"University of Stuttgart-University of Stuttgart-Munich University of Applied Sciences-Munich University of Applied Sciences-Max Planck Institute for Informatics, Saarland Informatics Campus"	Germany-Germany-Germany-Germany
paper531.pdf	University of Washington-University of Washington-University of Washington-University of Washington	USA
paper257.pdf	Simon Fraser University-Simon Fraser University-Autodesk Research	Canada-Canada-Canada
paper243.pdf	"HCI Lab, University of New Brunswick, Fredericton, NB,-HCI Lab, University of New Brunswick, Fredericton, NB,-HCI Lab, University of New Brunswick, Fredericton, NB,-Play & Interactive Experiences for Learning Lab, New Mexico State University, Las Cruces, NM,-Play & Interactive Experiences for Learning Lab, New Mexico State University, Las Cruces, NM,-Play & Interactive Experiences for Learning Lab, New Mexico State University, Las Cruces, NM,-Interface Ecology Lab, Texas A&M University, College Station, TX,-Interface Ecology Lab, Texas A&M University, College Station, TX,-Interface Ecology Lab, Texas A&M University, College Station, TX,-Interface Ecology Lab, Texas A&M University, College Station, TX,-Interaction Lab, University of Saskatchewan, Saskatoon, SK,-Interaction Lab, University of Saskatchewan, Saskatoon, SK,-Interaction Lab, University of Saskatchewan, Saskatoon, SK,-RICELab, University of Calgary, Calgary, AB,-RICELab, University of Calgary, Calgary, AB,-RICELab, University of Calgary, Calgary, AB,-HCI Institute / Entertainment Technology Center, Carnegie Mellon University, Pittsburgh, PA,-HCI Institute / Entertainment Technology Center, Carnegie Mellon University, Pittsburgh, PA,-HCI Institute / Entertainment Technology Center, Carnegie Mellon University, Pittsburgh, PA,-HCI Institute / Entertainment Technology Center, Carnegie Mellon University, Pittsburgh, PA,"	Canada-USA-USA-Canada-Canada-USA
paper525.pdf	"DGP Lab, University of Toronto, Toronto, Ontario, , {seongkook, daniel}@dgp.toronto.edu-DGP Lab, University of Toronto, Toronto, Ontario, , {seongkook, daniel}@dgp.toronto.edu-DGP Lab, University of Toronto, Toronto, Ontario, , {seongkook, daniel}@dgp.toronto.edu-University of Toronto, Toronto, Ontario, , chr.chung@mail.utoronto.ca-University of Toronto, Toronto, Ontario, , chr.chung@mail.utoronto.ca-HCI Lab, KAIST, Daejeon, Republic of , geehyuk@gmail.com"	Canada-Canada-Korea
paper519.pdf	Exertion Games Lab-RMIT University-RMIT University	Australia
paper121.pdf	The Hebrew University of-The Hebrew University of-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-Carnegie Mellon University-New York University-New York University-Carnegie Mellon University-Carnegie Mellon University-The Hebrew University of-The Hebrew University of	USA-Israel
paper647.pdf	DFKI GmbH Aalto University-DFKI GmbH Aalto University	Finland
paper653.pdf	"University of Stuttgart, Stuttgart, , {ﬁrstname.lastname}@vis.uni-stuttgart.de-University of Stuttgart, Stuttgart, , {ﬁrstname.lastname}@vis.uni-stuttgart.de"	Germany
paper135.pdf	"Munich University of Applied-Munich University of Applied-University of Tampere,-University of Tampere,"	Germany-Germany-Finland
