file	affiliations	country
paper468.pdf	Techies Against Facebook: Understanding Negative-Sentiment Toward Facebook via User Generated-School of Informatics, Computing, and Engineering-Indiana University Bloomington-Indiana University Bloomington	USA
paper326.pdf	Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand-Augmented Human Lab, Auckland Bioengineering Institute, The University of Auckland, New Zealand	
paper440.pdf	Queen Mary University of London-Queen Mary University of London-Queen Mary University of London-Queen Mary University of London	UK-UK
paper454.pdf	Technische Universität Darmstadt-Technische Universität Darmstadt-Technische Universität Darmstadt-Technische Universität Darmstadt-Technische Universität Darmstadt	Germany-Germany-Germany-Germany-Germany
paper332.pdf	University of Washington-University of Washington-Adobe Research-University of Michigan-University of Michigan-Northwestern University-Northwestern University	
paper369.pdf	Carnegie Mellon University-Carnegie Mellon University-Autodesk Research-Autodesk Research-Carnegie Mellon University-Carnegie Mellon University-Autodesk Research-Autodesk Research	USA-Canada-Canada-USA-Canada-Canada
paper433.pdf	Friedrich-Alexander-Universität-Friedrich-Alexander-Universität	Germany-Germany-Germany
paper355.pdf	with Touch Groups and Cross Events-School of Information-University of Michigan-University of Michigan-University of Michigan-University of Michigan-Adobe Research-HCI Institute-Adobe-Carnegie Mellon University-Carnegie Mellon University	USA-USA-USA-USA
paper341.pdf	School of Interactive Arts and Technology-Simon Fraser University-Simon Fraser University	Canada
paper427.pdf	Technical University of Berlin-Technical University of Berlin-University of Chicago-University of Chicago-Technical University of Berlin-Technical University of Berlin-University of Chicago-University of Chicago-National Chiao Tung University-National Chiao Tung University-University of Technology Sydney-University of Technology Sydney-University of Technology Sydney-University of Technology Sydney	Germany-USA-Germany-USA-Australia-Australia
paper396.pdf	INTERACT Research Unit, University of Oulu,-INTERACT Research Unit, University of Oulu,	Finland
paper382.pdf	Department of Computer Science-Department of Computer Science-Aalto University-Aalto University-Department of Computer Science-University of Helsinki-University of Helsinki-Aalto University-Aalto University-School of Applied Psychology-University College Cork-University College Cork-University College Cork-Department of Computer Science-Aalto University-Aalto University	Finland-Finland-Finland-Ireland-Finland
paper619.pdf	RWTH Aachen University-RWTH Aachen University	Germany
paper157.pdf	University of Gothenburg-University of Gothenburg-Chalmers University of Technology-Chalmers University of Technology-University of Gothenburg-University of Gothenburg-Aarhus University-Aarhus University-Chalmers University of Technology-Chalmers University of Technology-University of Gothenburg-University of Gothenburg-Chalmers University of Technology-Chalmers University of Technology-Eindhoven University of Technology-Eindhoven University of Technology	Sweden-Sweden-Sweden-Netherlands
paper631.pdf	University of Ontario Institute of Technology-University of Ontario Institute of Technology-University of Ontario Institute of Technology-University of Ontario Institute of Technology-University of Ontario Institute of Technology-University of Ontario Institute of Technology	Canada-Canada
paper625.pdf	Institute of Media Informatics,-Ulm University,-Ulm University,-Institute of Media Informatics,-Ulm University,-Ulm University,-Institute of Media Informatics,-Ulm University,-Ulm University,-Institute for Visualisation and-University of Stuttgart,-University of Stuttgart,-Institute of Media Informatics,-Ulm University,-Ulm University,	Germany-Germany-Germany-Germany-Germany
paper143.pdf	Institute of Visual Computing-Bonn-Rhein-Sieg University of-Bonn-Rhein-Sieg University of-Institute of Visual Computing-Bonn-Rhein-Sieg University of-Bonn-Rhein-Sieg University of-Institute of Visual Computing-Bonn-Rhein-Sieg University of-Bonn-Rhein-Sieg University of-Institute of Visual Computing-Bonn-Rhein-Sieg University of-Bonn-Rhein-Sieg University of-College of Engineering, Design and-School of Interactive Arts +-Brunel University London-Brunel University London-Simon Fraser University-Simon Fraser University	Germany-Germany-Germany-Germany-United Kingdom-Canada
paper194.pdf	School of Information-University of Michigan-University of Michigan	USA
paper180.pdf	University of Toronto-University of Toronto-Marquette University-Marquette University-New York University-New York University-The Jacobs Institute, Cornell Tech	Canada-USA-USA-USA
paper023.pdf	University of Toronto-University of Toronto-University of Toronto-University of Toronto	Canada-Canada
paper037.pdf	Carnegie Mellon University, Pittsburgh, PA, ,  Drexel University, Philadelphia, PA, ,-Carnegie Mellon University, Pittsburgh, PA, ,  Drexel University, Philadelphia, PA, ,-Southeast University, Nanjing, ,  Zhejiang University, Zhejiang,-Southeast University, Nanjing, ,  Zhejiang University, Zhejiang,	USA-China
paper209.pdf	Microsoft Corporation-Microsoft Corporation	USA-USA
paper547.pdf	College of Computing and Informatics-Drexel University-Drexel University-Children’s National Medical Center	USA-USA
paper221.pdf	Macquarie University-Macquarie University-School of Computer Science-University of Sydney-University of Sydney-University of Wisconsin–Madison-University of Wisconsin–Madison-School of Computer Science-University of Sydney-University of Sydney-School of Psychology-University of Sydney-University of Sydney	
paper235.pdf	Know Center-Interactive Systems and Data Science, Graz University of-Interactive Systems and Data Science, Graz University of-Technology & Know Center	
paper553.pdf	University of Haifa-University of Haifa	
paper584.pdf		Korea-Korea-Korea-Korea
paper590.pdf		
paper591.pdf	Department of Computer Science-Michigan Technological University-Michigan Technological University-Department of Engineering-University of Cambridge-University of Cambridge	USA-United Kingdom
paper585.pdf	Graz University of Technology VRVis GmbH Salzburg University of Applied Sciences University of Otago-Graz University of Technology VRVis GmbH Salzburg University of Applied Sciences University of Otago	
paper234.pdf	School of Computing and Information Systems, The University of Melbourne-School of Computing and Information Systems, The University of Melbourne-School of Computing and Information Systems, The University of Melbourne-School of Information Technology, Deakin University-School of Information Technology, Deakin University-School of Information Technology, Deakin University-Department of Physiotherapy, The University of Melbourne-Department of Physiotherapy, The University of Melbourne-Department of Physiotherapy, The University of Melbourne	Australia
paper552.pdf	University of Chicago, † Brown University-University of Chicago, † Brown University	
paper546.pdf	University Utrecht, Utrecht, the , p.w.wozniak@uu.nl-University Utrecht, Utrecht, the , p.w.wozniak@uu.nl	Germany-Netherlands
paper220.pdf	National Taiwan University-National Taiwan University-The University of Tokyo-The University of Tokyo-The University of Tokyo-The University of Tokyo-National Taiwan University-National Taiwan University	
paper208.pdf	University of Saskatchewan-University of Saskatchewan-University of Saskatchewan-University of Saskatchewan	Canada-Canada
paper036.pdf	App for Young Children at School and Home-School of Interactive Arts-School of Interactive Arts-Department-Langara College	Canada-Canada-Canada-Canada
paper022.pdf	of the Facebook News Feed-Department of Computer Science-University of Bath-University of Bath-Department of Computer Science-University of Bath-University of Bath	UK-UK
paper181.pdf	ISG, Royal Holloway University of London-ISG, Royal Holloway University of London-ISG, Royal Holloway University of London-ISG, Royal Holloway University of London	UK-UK
paper195.pdf	University of Michigan-University of Michigan-University of Michigan-University of Michigan	
paper624.pdf	Georgia Institute of Technology-Georgia Institute of Technology-Georgia Institute of Technology-Georgia Institute of Technology-Georgia Institute of Technology-Georgia Institute of Technology-Georgia Institute of Technology-Worcester Polytechnic Institute-Georgia Institute of Technology	
paper142.pdf	Moderation Practices as Emotional Labor in-Syracuse University-Syracuse University-Syracuse University-Syracuse University	USA-USA
paper156.pdf	Hasselt University - tUL - Flanders Make, EDM, Belgium, firstname.lastname@uhasselt.be-Hasselt University - tUL - Flanders Make, EDM, Belgium, firstname.lastname@uhasselt.be-LUCA School of Arts, KULeuven, Belgium, danny.leen@luca-arts.be-LUCA School of Arts, KULeuven, Belgium, danny.leen@luca-arts.be-Hasselt University - tUL - Flanders Make, EDM, Belgium, firstname.lastname@student.uhasselt.be-Hasselt University - tUL - Flanders Make, EDM, Belgium, firstname.lastname@student.uhasselt.be	
paper630.pdf	Open Lab-Newcastle University-Newcastle University-Open Lab-Newcastle University-Newcastle University-School of Design-Northumbria University-Northumbria University-Newcastle University-Newcastle University-Open Lab-Newcastle University-Newcastle University	UK-UK-UK-UK-UK
paper618.pdf	School of Information, Kochi University-School of Information, Kochi University-School of Information, Kochi University-Institute of Software, Chinese Academy of-Nanjing University of Aeronautics and-Nanjing University of Aeronautics and	China-Japan-China
paper383.pdf	Rochester Institute of Technology-Rochester Institute of Technology-University of Copenhagen-University of Copenhagen-University of Copenhagen-University of Copenhagen	USA-USA
paper397.pdf	University of Bristol-University of Bristol-University of Bristol-University of Bristol-University of Bristol-University of Bristol	UK-UK-UK
paper340.pdf	Simon Fraser University-Simon Fraser University-Simon Fraser University-Simon Fraser University-University of Manitoba-University of Manitoba-University of British Columbia-University of British Columbia	Canada-Canada-Canada-Canada
paper426.pdf	Human-Computer Interaction Institute, Carnegie Mellon University-Human-Computer Interaction Institute, Carnegie Mellon University-Human-Computer Interaction Institute, Carnegie Mellon University-Zhejiang University-Zhejiang University-School of Architecture, Carnegie Mellon University-School of Architecture, Carnegie Mellon University-School of Architecture, Carnegie Mellon University	
paper432.pdf	College of Information Sciences and Technology-Pennsylvania State University-Pennsylvania State University-State College, PA,	USA
paper354.pdf	University of Nevada-University of Nevada-University of Nevada-University of Nevada-University of Nevada-University of Nevada-University of Nevada-University of Nevada	
