file	affiliations	country
paper368.pdf	Kochi University of-Kochi University of-University of Manitoba-University of Manitoba-University of Manitoba-University of Manitoba-University of Manitoba-University of Manitoba-Kochi University of-Kochi University of	Japan-Canada-Canada-Canada-Japan
paper418.pdf	University of Copenhagen-University of Copenhagen-University of Copenhagen-University of Copenhagen-University of Copenhagen-University of Copenhagen	
paper424.pdf	Creighton University-Creighton University-Macalester College-University of Washington-University of Washington	USA-USA-USA
paper342.pdf	Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder-Institute of Cognitive Science-University of Colorado Boulder-University of Colorado Boulder	
paper356.pdf	Department of Information Science-Cornell University, Ithaca, NY,-Cornell University, Ithaca, NY,-Department of Computer Science-University of Toronto, ON,-University of Toronto, ON,	USA-Canada
paper430.pdf	Queen’s University-Queen’s University-Aalto University-Aalto University-University of Victoria-University of Victoria-Aalto University-Aalto University	Canada-Finland-Canada-Finland
paper381.pdf	Microsoft Research India-Microsoft Research India-Microsoft Research India-Microsoft Research India-Microsoft Research India-Microsoft Research India	
paper395.pdf	Graduate School of Culture Technology, KAIST-KAI Inc.	
paper168.pdf	Stanford University-Stanford University	
paper140.pdf	University of Bonn-University of Bonn-University of Bonn-University of Bonn-University of Bonn-University of Bonn-University of Bonn, Fraunhofer FKIE-University of Bonn, Fraunhofer FKIE-University of Bonn, Fraunhofer FKIE-University of Bonn, Fraunhofer FKIE	
paper626.pdf	University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham-University of Nottingham	UK-UK-UK-UK-UK-UK
paper632.pdf	Robotics Institute, Carnegie Mellon University {emarkvic, cmajidi}@andrew.cmu.edu-Robotics Institute, Carnegie Mellon University {emarkvic, cmajidi}@andrew.cmu.edu-Robotics Institute, Carnegie Mellon University {emarkvic, cmajidi}@andrew.cmu.edu-HCI Institute, Carnegie Mellon University {guanyunw, yichinle, gierad.laput, liningy}@andrew.cmu.edu-HCI Institute, Carnegie Mellon University {guanyunw, yichinle, gierad.laput, liningy}@andrew.cmu.edu-HCI Institute, Carnegie Mellon University {guanyunw, yichinle, gierad.laput, liningy}@andrew.cmu.edu-Department of Mechanical Engineering, Carnegie Mellon University cmajidi@andrew.cmu.edu-Department of Mechanical Engineering, Carnegie Mellon University cmajidi@andrew.cmu.edu-Department of Mechanical Engineering, Carnegie Mellon University cmajidi@andrew.cmu.edu	
paper154.pdf	University of Toulouse – ENAC, Toulouse, , <first name>.<last name>@enac.fr-University of Toulouse – ENAC, Toulouse, , <first name>.<last name>@enac.fr	France-France-France-France-France
