file	affiliations	country
paper344.pdf	Language Technologies Institute-Carnegie Mellon University-Carnegie Mellon University-Institute-Carnegie Mellon University-Carnegie Mellon University-Language Technologies Institute-Carnegie Mellon University-Carnegie Mellon University-Department of Linguistics-Stanford University-Stanford University	
paper378.pdf	Voice User Interfaces in Schools: Co-designing for-Department of Computer Science-University of Bristol-University of Bristol-School of Education-University of Bristol-University of Bristol-Department of Computer Science-University of Bristol-University of Bristol-Department of Computer Science-University of Bristol-University of Bristol-University of Bristol-University of Bristol	
paper393.pdf	School of Computing and Information-Systems, The University of Melbourne-Systems, The University of Melbourne-School of Computing and Information-Systems, The University of Melbourne-Systems, The University of Melbourne-School of Computing and Information-Systems, The University of Melbourne-Systems, The University of Melbourne-The University of Sydney-The University of Sydney-School of Computing and Information-Systems, The University of Melbourne-Systems, The University of Melbourne	Australia-Australia-Australia-Australia-Australia
paper387.pdf	University of Edinburgh,-University of Edinburgh,-University College London,-University College London,-University College London,-University of Edinburgh,-University of Edinburgh,	UK-UK-UK
paper634.pdf	Department of Computer Science and Engineering, HKUST, Hong Kong,-School of Computer Science, Beihang University,-School of Computer Science, Beihang University,-School of Computer Science, Beihang University,	China-China
paper146.pdf	The University of Tokyo-The University of Tokyo-The University of Tokyo-The University of Tokyo-The University of Tokyo-The University of Tokyo-Sony Computer Science Laboratories	Japan-Japan-Japan
paper620.pdf	OFFIS - Institute for IT-University of Oldenburg-University of Oldenburg-OFFIS - Institute for IT-University of Oldenburg-University of Oldenburg	Germany-Germany-Netherlands-Germany-Germany
paper608.pdf	University of Lisbon-University of Lisbon-University of Lisbon / FCSH-UNL-University of Lisbon / FCSH-UNL-University of Lisbon-University of Lisbon-School of Information and-Mathematical Sciences, University of-Mathematical Sciences, University of-University of Lisbon-University of Lisbon	Australia
paper191.pdf	University of Iowa-University of Iowa-University of Iowa-University of Iowa-University of Iowa-University of Iowa-University of Iowa-University of Iowa	USA-USA-USA-USA
paper185.pdf	Carnegie Mellon University-Carnegie Mellon University-Microsoft Research-Microsoft Research-Microsoft Research-Microsoft Research	
paper026.pdf	Carnegie Mellon University-Carnegie Mellon University-Snap Inc.-Snap Inc.	
paper032.pdf	University of Lincoln-University of Lincoln-University of Lincoln-University of Lincoln-KU Leuven, e-Media Research Lab-University of Lincoln / University of Trento-University of Lincoln / University of Trento	UK-UK-Italy-UK
paper224.pdf	MintViz Lab | MANSiD Research Center-MintViz Lab | MANSiD Research Center-University Ştefan cel Mare of Suceava-University Ştefan cel Mare of Suceava	
paper542.pdf	Imperial College London-Imperial College London-Imperial College London	UK-UK-UK
paper556.pdf	Northeastern University-Northeastern University-Brown University-Brown University-Northeastern University-Northeastern University-Brown University-Brown University-Northeastern University-Northeastern University-Northeastern University-Northeastern University	
paper230.pdf	AILA: Interactive Document Labeling Assistant for-University, Seoul, Republic of , {mchoi, cb_park, dudrrm, jchoo}@korea.ac.kr-University, Seoul, Republic of , {mchoi, cb_park, dudrrm, jchoo}@korea.ac.kr-Ajou University, Suwon, Republic of , ygkim@gmail.com-Ajou University, Suwon, Republic of , ygkim@gmail.com-University of Washington, dub group, Seattle, WA, , rayhong@uw.edu-University of Washington, dub group, Seattle, WA, , rayhong@uw.edu	Korea-Korea-USA
paper218.pdf	AIT Austrian Institute of Technology	
paper581.pdf	Mixed Reality Lab, Computer Science, University of Nottingham,-Mixed Reality Lab, Computer Science, University of Nottingham,-Mixed Reality Lab, Computer Science, University of Nottingham,	UK
paper595.pdf	Psychiatric Tests: The Case of Attachment in School-†University of Glasgow - ‡ University of Edinburgh-†University of Glasgow - ‡ University of Edinburgh	
paper594.pdf	School of Information-University of Michigan-University of Michigan	USA
paper580.pdf	University of Siegen-University of Siegen-University of Siegen-University of Siegen-International Institute of-University of Siegen-University of Siegen-University of Siegen-University of Siegen	Germany-Germany-Germany-Germany-Germany
paper219.pdf	Eindhoven University of Technology-Eindhoven University of Technology-Department of Industrial Design	Netherlands
paper557.pdf	Human Computer Interaction Lab, Department of Computer Science-Human Computer Interaction Lab, Department of Computer Science-University of San Francisco-University of San Francisco	
paper231.pdf	German Research Center for Artificial-Saarland University-Saarland University-German Research Center for Artificial	
paper225.pdf	University of Basel, Switzerland-University of Basel, Switzerland-Department of Computer Science-University of Copenhagen, Denmark-University of Copenhagen, Denmark	
paper543.pdf	Rehumanized Crowdsourcing: A Labeling Framework-Syracuse University, Syracuse, NY-Syracuse University, Syracuse, NY-Figure Eight Inc., San Francisco, CA-Figure Eight Inc., San Francisco, CA	
paper033.pdf	Computational Media Department,-University of California Santa Cruz-University of California Santa Cruz-Department of Informatics-and Media, Uppsala University-and Media, Uppsala University-Computational Media Department,-University of California Santa Cruz-University of California Santa Cruz-Computational Media Department,-University of California Santa Cruz-University of California Santa Cruz-Computational Media Department,-University of California Santa Cruz-University of California Santa Cruz	
paper027.pdf	Information School | DUB Group-Information School | DUB Group-University of Washington-University of Washington	USA
paper184.pdf	Carnegie Mellon University-Carnegie Mellon University-Institute-Carnegie Mellon University-Carnegie Mellon University-Institute-Carnegie Mellon University-Carnegie Mellon University-Institute-Figure : Left: a sweater with actuated sleeve. Center: a reconfigurable lampshade. Right: a responsive plush toy. These objects	
paper190.pdf	McGill University-McGill University-McGill University-McGill University-McGill University-McGill University	Canada-Canada-Canada
paper609.pdf	Georgia Institute of-Universität Regensburg	
paper147.pdf		
paper621.pdf	University of Massachusetts, Boston-University of Massachusetts, Boston-University of Massachusetts, Boston-University of Massachusetts, Boston-George Mason University-George Mason University-Adobe Research-Columbia University-Columbia University	
paper635.pdf	Uppsala University-Uppsala University-KTH Royal Institute of Technology	Sweden-Germany-Sweden
paper153.pdf	University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington-University of Washington	United States
paper386.pdf		Italy-Italy
paper392.pdf	UCL Interaction Centre-University College London-University College London-University College London-UCL Interaction Centre-University College London-University College London-University College London-School of Computer Science-University of Birmingham-University of Birmingham	United Kingdom-United Kingdom-United Kingdom
paper379.pdf	School of Design-Northumbria University-Northumbria University-Lancaster University-Lancaster University-Lancaster University-Lancaster University-Lancaster University-Lancaster University-University of Edinburgh-University of Edinburgh-School of Design-Northumbria University-Northumbria University	UK-UK-UK-UK-UK-UK
paper423.pdf	Open Lab-Open Lab	UK-UK
paper345.pdf	University of Colorado, Boulder-University of Colorado, Boulder-ATLAS Institute-University of Colorado, Boulder-University of Colorado, Boulder-ATLAS Institute &-University of Colorado, Boulder-University of Colorado, Boulder	
paper351.pdf	School of Art + Art History + Design-University of Washington-University of Washington	United States
paper437.pdf	Monash University-Monash University-Newcastle University-Newcastle University-University of York-University of York	Australia-UK-UK
paper348.pdf	George Mason University-George Mason University-National Chiao Tung University-National Chiao Tung University-Facebook Reality Labs-Facebook Reality Labs-University of Massachusetts-Boston-University of Massachusetts-Boston-George Mason University-George Mason University	Japan-Japan
paper412.pdf		UK-USA
paper374.pdf		
paper360.pdf	University of Stuttgart-University of Stuttgart-University of Stuttgart-University of Stuttgart-University of Regensburg-University of Regensburg	Germany-Germany-Germany-Germany
paper406.pdf	University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo-Inria Bordeaux-University of Waterloo-University of Waterloo-University of Waterloo-University of Waterloo	Canada-Canada-Canada-Canada-France-Canada-Canada
paper638.pdf	Exertion Games Lab-RMIT University-RMIT University	Australia
paper176.pdf	School of Creative Media, City University of Hong Kong-School of Creative Media, City University of Hong Kong-School of Creative Media, City University of Hong Kong-School of Creative Media, City University of Hong Kong-School of Creative Media, City University of Hong Kong-School of Creative Media, City University of Hong Kong	
